section,model_type,AUC,precision,recall,accuracy,F1
before mandates—face mask wearing,logistic regression,0.824 (0.004),0.480 (0.002),0.775 (0.009),0.728 (0.001),0.593 (0.004)
before mandates—face mask wearing,classification tree,0.818 (0.002),0.646 (0.008),0.473 (0.022),0.798 (0.002),0.544 (0.013)
before mandates—face mask wearing,XGBoost,0.863 (0.001),0.562 (0.002),0.744 (0.008),0.786 (0.002),0.641 (0.004)
before mandates—face mask wearing,random forest,0.858 (0.002),0.779 (0.010),0.421 (0.007),0.821 (0.003),0.547 (0.007)
after mandates—face mask wearing,logistic regression,0.837 (0.002),0.876 (0.001),0.784 (0.002),0.770 (0.002),0.827 (0.001)
after mandates—face mask wearing,classification tree,0.870 (0.002),0.863 (0.001),0.923 (0.003),0.843 (0.002),0.892 (0.001)
after mandates—face mask wearing,XGBoost,0.895 (0.002),0.898 (0.002),0.874 (0.002),0.842 (0.002),0.886 (0.002)
after mandates—face mask wearing,random forest,0.892 (0.002),0.871 (0.001),0.933 (0.002),0.856 (0.002),0.901 (0.002)
before mandates—general protective behaviour,logistic regression,0.729 (0.004),0.681 (0.005),0.691 (0.004),0.666 (0.005),0.686 (0.004)
before mandates—general protective behaviour,classification tree,0.737 (0.004),0.685 (0.006),0.732 (0.013),0.681 (0.004),0.707 (0.005)
before mandates—general protective behaviour,XGBoost,0.782 (0.004),0.722 (0.006),0.720 (0.004),0.706 (0.005),0.721 (0.004)
before mandates—general protective behaviour,random forest,0.783 (0.004),0.709 (0.005),0.761 (0.005),0.709 (0.004),0.734 (0.003)
after mandates—general protective behaviour,logistic regression,0.781 (0.003),0.858 (0.002),0.734 (0.003),0.720 (0.002),0.791 (0.002)
after mandates—general protective behaviour,classification tree,0.800 (0.002),0.813 (0.001),0.897 (0.005),0.776 (0.003),0.853 (0.002)
after mandates—general protective behaviour,XGBoost,0.846 (0.002),0.889 (0.001),0.772 (0.002),0.766 (0.001),0.826 (0.001)
after mandates—general protective behaviour,random forest,0.837 (0.002),0.806 (0.001),0.937 (0.001),0.792 (0.002),0.867 (0.001)
