feature,median_importance,q1,q3,iqr
protective_behaviour_nomask_scale,0.11783498118067717,0.11637751826039347,0.11944519389441337,0.003067675634019898
age,0.08836081731899842,0.08783699958760716,0.08903160489126336,0.0011946053036561988
week_number,0.08601731673470583,0.08532288816890472,0.08686723621052006,0.0015443480416153371
i2_health,0.06750237749092287,0.06710528693038227,0.06808203876316986,0.0009767518327875868
state_New South Wales,0.06670002050679563,0.0652208046633946,0.06788319699344783,0.0026623923300532343
r1_1,0.062226805468784674,0.06163155602460579,0.0629715652021518,0.0013400091775460157
r1_2,0.051834013316314854,0.051349455881705204,0.05260500538996584,0.0012555495082606366
cantril_ladder,0.05003300013676064,0.04967632240435507,0.050323617389391874,0.0006472949850368018
household_size,0.040143153378690184,0.03978822154455016,0.04053510619996567,0.0007468846554155098
gender_Male,0.016251698937596613,0.01611844695372864,0.016392772747573694,0.00027432579384505454
WCRex2_A lot of confidence,0.013939063599044038,0.013761328890869659,0.014113453180759704,0.0003521242898900448
state_Queensland,0.013308604712455754,0.013025400764402615,0.01390448090036194,0.0008790801359593245
employment_status_Part time employment,0.013280775655514089,0.013124889467001265,0.013435140644312431,0.0003102511773111667
WCRex1_Somewhat well,0.012827039952245243,0.012718573916059782,0.01294357923543141,0.00022500531937162845
i9_health_Yes,0.012456181503362092,0.012351258729462938,0.012594367067590337,0.00024310833812739817
i11_health_Very willing,0.012407203891240517,0.01230295584365039,0.012568478734382233,0.0002655228907318431
d1_comorbidities_Yes,0.012381528431728912,0.012213945692766558,0.012678352722860938,0.00046440703009438013
WCRex1_Very well,0.012118970479392796,0.011966550650400077,0.012230405254904084,0.00026385460450400675
state_South Australia,0.011276810773559852,0.011058306919911703,0.011566606505868066,0.0005082995859563635
PHQ4_3_Several days,0.010667852458162371,0.010579543942628833,0.010795920942719278,0.00021637700009044525
PHQ4_1_Several days,0.010571464264938478,0.010439201137732,0.010725086535353315,0.0002858853976213157
employment_status_Retired,0.010311646432969104,0.010100917068810828,0.010466323642279432,0.0003654065734686046
PHQ4_4_Not at all,0.010230832469227062,0.010052887048425236,0.010320219569784761,0.00026733252135952533
i11_health_Somewhat willing,0.010121092019691916,0.01005155106333362,0.01025222676684629,0.0002006757035126691
PHQ4_1_Not at all,0.01008130519495181,0.009971799933148133,0.0101864928987913,0.00021469296564316682
PHQ4_2_Several days,0.009887093909940654,0.009783164559535568,0.009974838468903376,0.00019167390936780833
d1_comorbidities_No,0.009779983391218501,0.009616791252623037,0.009891013112466915,0.00027422185984387823
PHQ4_4_Several days,0.00969176921292039,0.009593597385859012,0.009809731042589306,0.0002161336567302937
employment_status_Unemployed,0.009680055284730595,0.009535306920387511,0.009795703168411867,0.0002603962480243558
PHQ4_2_Not at all,0.009425840749061163,0.009305611931195787,0.009521394414937438,0.00021578248374165034
employment_status_Not working,0.009241526600696659,0.00914798705156496,0.009332231755064348,0.0001842447034993873
PHQ4_3_Not at all,0.008868173018127264,0.008773231591819594,0.009002699716706935,0.00022946812488734009
state_Western Australia,0.00880277114999891,0.00854930859829069,0.00900205260602109,0.00045274400773039937
WCRex1_Somewhat badly,0.00864483736777075,0.008524995380667932,0.008720597170491444,0.00019560178982351226
WCRex2_Not very much confidence,0.00855438420067161,0.00846591564514647,0.008719462259722125,0.0002535466145756546
state_Tasmania,0.008158545529219156,0.007868252877467292,0.008386582175502515,0.0005183292980352229
i9_health_Not sure,0.007221940989560358,0.00714476134475101,0.00734480983266751,0.00020004848791650015
PHQ4_3_Nearly every day,0.006786514520267127,0.006666327437849269,0.006861765510908443,0.0001954380730591742
PHQ4_4_Nearly every day,0.006660024849246701,0.006535933028769951,0.006754680179450166,0.00021874715068021574
PHQ4_1_Nearly every day,0.006516009559526026,0.006420826636432623,0.006599318699266485,0.00017849206283386196
WCRex1_Very badly,0.0064117722051198235,0.006299990600422279,0.006521008795716817,0.00022101819529453826
PHQ4_2_Nearly every day,0.00552916931352191,0.005451598749561339,0.005609548745327866,0.00015794999576652664
WCRex2_No confidence at all,0.003945024305648079,0.0038520771222758164,0.004031990483033712,0.00017991336075789564
state_Victoria,0.0031448024730734176,0.0030253447341996413,0.003238823197690734,0.00021347846349109275
WCRex2_Don't know,0.003079074465285678,0.0029921570658278584,0.0031305336203815174,0.00013837655455365902
PHQ4_3_N/A,0.0027853306197140448,0.0026582930062019313,0.0028956806051078834,0.0002373875989059521
PHQ4_1_N/A,0.0027494684388001626,0.0026574424801811525,0.0028208570092113534,0.0001634145290302009
PHQ4_4_N/A,0.00273807440148185,0.0026818099210286204,0.002823355479436256,0.00014154555840763553
PHQ4_2_N/A,0.0026253619103665544,0.0025332326687004933,0.002688735950208602,0.0001555032815081089
i11_health_Somewhat unwilling,0.0024949319381155073,0.0024112840437313585,0.002577726068440386,0.0001664420247090275
i11_health_Not sure,0.001981442807486073,0.0018892819512587489,0.0020429438971743875,0.0001536619459156386
state_Northern Territory,0.0019266739230053914,0.0018479795904078693,0.002001207969104602,0.00015322837869673287
i11_health_Very unwilling,0.0019225112686974764,0.0018853883891828222,0.001995698048558017,0.00011030965937519491
d1_comorbidities_Prefer_not_to_say,0.0019138265198434552,0.0018053595424025572,0.001956769302564089,0.00015140976016153173
PHQ4_4_Prefer not to say,0.0016172450002411168,0.001556439894119331,0.0017308576089553737,0.00017441771483604263
PHQ4_2_Prefer not to say,0.0014241941398772107,0.0013729461267629533,0.0014698311362108946,9.688500944794124e-05
PHQ4_3_Prefer not to say,0.0013332428469238207,0.001285747156229456,0.0014305509989934635,0.00014480384276400744
PHQ4_1_Prefer not to say,0.0011625179464377707,0.001111743141261946,0.0012269526345555825,0.00011520949329363642
