run_id,seed,i2_health,age,household_size,cantril_ladder,r1_1,r1_2,protective_behaviour_nomask_scale,week_number,state_New South Wales,state_Northern Territory,state_Queensland,state_South Australia,state_Tasmania,state_Victoria,state_Western Australia,gender_Male,i9_health_Not sure,i9_health_Yes,employment_status_Not working,employment_status_Part time employment,employment_status_Retired,employment_status_Unemployed,i11_health_Not sure,i11_health_Somewhat unwilling,i11_health_Somewhat willing,i11_health_Very unwilling,i11_health_Very willing,WCRex1_Somewhat badly,WCRex1_Somewhat well,WCRex1_Very badly,WCRex1_Very well,WCRex2_A lot of confidence,WCRex2_Don't know,WCRex2_No confidence at all,WCRex2_Not very much confidence,PHQ4_1_N/A,PHQ4_1_Nearly every day,PHQ4_1_Not at all,PHQ4_1_Prefer not to say,PHQ4_1_Several days,PHQ4_2_N/A,PHQ4_2_Nearly every day,PHQ4_2_Not at all,PHQ4_2_Prefer not to say,PHQ4_2_Several days,PHQ4_3_N/A,PHQ4_3_Nearly every day,PHQ4_3_Not at all,PHQ4_3_Prefer not to say,PHQ4_3_Several days,PHQ4_4_N/A,PHQ4_4_Nearly every day,PHQ4_4_Not at all,PHQ4_4_Prefer not to say,PHQ4_4_Several days,d1_comorbidities_No,d1_comorbidities_Prefer_not_to_say,d1_comorbidities_Yes
1,20240627,0.013468981,0.018958429,0.011737037,0.013668299,0.02213471,0.018255487,0.10500697,0.0200519,0.12593411,0.012653673,0.014044621,0.014113962,0.022155738,0.014587601,0.016422002,0.013633952,0.014668066,0.016327122,0.015570439,0.014281869,0.013997386,0.012270339,0.012015412,0.012862528,0.012017943,0.0113342395,0.016070751,0.013116757,0.010352677,0.011309956,0.013971059,0.015671588,0.012183854,0.011406648,0.014069038,0.00987138,0.009344547,0.011990619,0.009872197,0.013621381,0.013944583,0.0127289025,0.011375327,0.008620737,0.012735015,0.016484525,0.014229651,0.013707826,0.011716746,0.014348088,0.01049316,0.014814364,0.017020963,0.013744009,0.012541349,0.010237325,0.011427721,0.014804449
2,20240628,0.013730115,0.01966193,0.01193109,0.014264232,0.022576597,0.017038148,0.106971435,0.021002127,0.12648322,0.015083377,0.014303548,0.01571043,0.022771584,0.014258976,0.016970653,0.014351129,0.013190186,0.018697778,0.016102498,0.014146463,0.0156078385,0.011374355,0.01082392,0.016795542,0.012145262,0.008455407,0.015431823,0.011542924,0.011237633,0.01216017,0.012767882,0.01555018,0.011996751,0.010976421,0.013290551,0.013811756,0.007821063,0.012578575,0.010390228,0.015269611,0.017502325,0.010042602,0.011699126,0.0131281065,0.013255511,0.015996432,0.011823851,0.015974246,0.011487501,0.014529472,0.0,0.013411412,0.0152841145,0.012750123,0.010718658,0.010627254,0.009803605,0.012692174
3,20240629,0.013951552,0.019645533,0.012136059,0.013718043,0.022905227,0.018027358,0.10253497,0.020266114,0.128652,0.010925734,0.013610174,0.012870757,0.021721069,0.0131560145,0.017305313,0.013376072,0.011965895,0.019267688,0.015325335,0.013633778,0.015434354,0.012733298,0.0147155365,0.014039898,0.012523078,0.0180093,0.016792467,0.015283492,0.010708073,0.011233808,0.013259976,0.014444446,0.013812261,0.010589977,0.013549861,0.011818389,0.009458926,0.010952182,0.009905924,0.013287563,0.009902418,0.012428756,0.0134189315,0.009176274,0.015359036,0.018607426,0.013085791,0.011048343,0.011373547,0.015680846,0.0,0.01278594,0.01719271,0.017999666,0.011467986,0.011470186,0.008945258,0.01250938
4,20240630,0.013858172,0.020514233,0.011792234,0.013887893,0.022597859,0.017891135,0.09770882,0.020243097,0.13294747,0.011494492,0.014954933,0.013367245,0.024782993,0.016046645,0.014981745,0.012581307,0.01323873,0.016679574,0.015809402,0.014229009,0.015443471,0.012025318,0.012220398,0.01503097,0.010863453,0.007013391,0.015404516,0.013536134,0.010640997,0.012138753,0.014935584,0.015120003,0.013874636,0.011602701,0.0125054605,0.012681599,0.008704582,0.012697468,0.011228919,0.013856073,0.015653705,0.011385115,0.013475858,0.012969097,0.012509466,0.015002374,0.013496009,0.011843953,0.014518193,0.015137821,0.0,0.012383796,0.014819064,0.012656299,0.012816819,0.013175438,0.014195228,0.012830447
5,20240631,0.014578813,0.019020759,0.011751957,0.013503634,0.021802224,0.017961828,0.10541855,0.020372096,0.12631291,0.010470983,0.014885726,0.013928881,0.024841754,0.01743418,0.015829807,0.012364187,0.012939108,0.017728157,0.016731588,0.013620603,0.014189013,0.0122684315,0.01225772,0.013919667,0.012126912,0.008030166,0.017111827,0.013742687,0.011383908,0.010730343,0.013760409,0.016406812,0.012167775,0.009084407,0.013124816,0.013574119,0.010429548,0.012978437,0.0104269115,0.014334528,0.016080063,0.0110376235,0.011762862,0.0076201446,0.010464612,0.016606499,0.013940053,0.010474532,0.011720188,0.0143511295,0.008374966,0.012472716,0.016560534,0.014171975,0.012203538,0.011200841,0.012770803,0.014640816
6,20240632,0.013478879,0.01917173,0.011742057,0.013830823,0.021762224,0.01642275,0.10908928,0.019876996,0.11699604,0.010102102,0.012257671,0.013798405,0.023457699,0.014402932,0.0153563265,0.012955889,0.012933276,0.017371755,0.015669823,0.015524866,0.015309643,0.0119221695,0.014063957,0.01369217,0.0128113795,0.01252321,0.01721552,0.012713111,0.01012731,0.010451164,0.014722404,0.014649315,0.0115409875,0.009744626,0.013845771,0.015938366,0.008152734,0.014488664,0.013074635,0.014101998,0.021068444,0.009245928,0.012672376,0.011377696,0.014008511,0.01727663,0.011996701,0.014009987,0.015118857,0.011269914,0.0,0.014366493,0.015229634,0.014357016,0.012470987,0.012294374,0.011727459,0.014218391
7,20240633,0.014450942,0.019349774,0.012024318,0.014388917,0.02200355,0.017764922,0.106711924,0.020529138,0.11967933,0.01271292,0.014021049,0.013314371,0.02282374,0.013558735,0.015307091,0.014624013,0.011903419,0.017266344,0.016531533,0.013149121,0.015425747,0.013428283,0.012942519,0.0122982925,0.012671148,0.010731073,0.018666908,0.014669039,0.011527518,0.011877641,0.013393779,0.016891973,0.012873717,0.011092981,0.012899682,0.012833328,0.009010804,0.011853926,0.011975284,0.013903398,0.00694203,0.013183681,0.012534753,0.015741704,0.012653053,0.01629925,0.011312987,0.013814584,0.01126506,0.013941628,0.0,0.013068204,0.016283631,0.013986601,0.011837952,0.014797151,0.015648112,0.0136075355
8,20240634,0.014311297,0.019201422,0.012525086,0.012863309,0.02368011,0.016991401,0.09706152,0.019752745,0.12851189,0.014075811,0.0143955415,0.013669269,0.02248355,0.012056721,0.015857669,0.013006599,0.010362687,0.01767437,0.015693413,0.0125875715,0.014830066,0.011676551,0.012859128,0.012100532,0.012672552,0.0074783685,0.017998287,0.01125474,0.011662269,0.012063453,0.012617999,0.01594839,0.011848936,0.0088052275,0.013340069,0.013467268,0.009937763,0.01200077,0.00837451,0.015134814,0.018480854,0.013065185,0.013255731,0.01142464,0.01231477,0.011591126,0.013844399,0.012351721,0.0119822975,0.014804382,0.018358937,0.011369147,0.015761964,0.014797358,0.013222018,0.011950379,0.013713687,0.014877711
9,20240635,0.013600084,0.019282019,0.012035905,0.01425365,0.022125771,0.018754875,0.10309034,0.02026239,0.13956109,0.012268714,0.011770305,0.013765909,0.022819351,0.012058867,0.017386304,0.012784022,0.011105393,0.016489794,0.017088229,0.014351309,0.016574614,0.012759019,0.013796262,0.01263279,0.011141808,0.0058341064,0.01933375,0.014904083,0.011399892,0.010664884,0.013850594,0.014647171,0.011317278,0.011490314,0.013930958,0.012347128,0.008232831,0.012905052,0.010436789,0.014386841,0.014695343,0.012227168,0.013747267,0.0105301915,0.01558482,0.012939523,0.013704026,0.012345145,0.010595952,0.014339248,0.0,0.012400606,0.015511817,0.014881616,0.010577638,0.011691353,0.012636883,0.0141509315
10,20240636,0.01352787,0.019266456,0.0119311735,0.013420967,0.022777883,0.017014295,0.103964955,0.01962464,0.14073737,0.009350971,0.013042675,0.013906042,0.020006256,0.014412918,0.015480201,0.012623665,0.012921067,0.017031124,0.016119864,0.014064312,0.013943212,0.012038927,0.010559507,0.013392528,0.011184415,0.00985197,0.015511371,0.011446092,0.011833664,0.011635524,0.012984709,0.014351366,0.0117577305,0.012364698,0.011875878,0.010256842,0.00899654,0.012168577,0.008345129,0.013518828,0.012893252,0.010146663,0.012442054,0.009813197,0.0126399435,0.011442439,0.013602009,0.014716477,0.012871998,0.014694728,0.0177047,0.010791201,0.017468343,0.019853609,0.011649868,0.010837926,0.013102074,0.0140873045
11,20240637,0.014753303,0.019596469,0.011944705,0.013949216,0.022298297,0.017535146,0.10149503,0.02036629,0.13148347,0.013559424,0.0120593095,0.013564267,0.02389176,0.0122437775,0.015342231,0.012865689,0.012120061,0.01730546,0.017349595,0.014038917,0.016105806,0.012125245,0.010521738,0.013036326,0.011126595,0.00835677,0.016032033,0.012823316,0.01132109,0.012826455,0.014372103,0.01627375,0.012873807,0.011095393,0.011766465,0.014170221,0.009469083,0.011953095,0.0063342354,0.012509954,0.011247776,0.013537233,0.016555933,0.0112954965,0.013548254,0.017080639,0.012018598,0.014249536,0.008785922,0.014415066,0.0076821363,0.016297672,0.017573252,0.014029263,0.009822245,0.01263974,0.0128375115,0.0135277575
