feature,median_importance,q1,q3,iqr
state_New South Wales,0.12807116,0.12432475201785564,0.13306860253214836,0.008743850514292717
protective_behaviour_nomask_scale,0.10007517,0.09801938198506832,0.10221179015934467,0.004192408174276352
state_Tasmania,0.024104068,0.02336918143555522,0.025335033889859915,0.001965852454304695
r1_1,0.021999724,0.02143308287486434,0.02225567400455475,0.0008225911296904087
week_number,0.019993957,0.01977512752637267,0.020329968072474003,0.0005548405461013317
age,0.019052487,0.018782726023346186,0.019359398633241653,0.0005766726098954678
r1_2,0.017275017,0.016637181863188744,0.017693880014121532,0.0010566981509327888
i9_health_Yes,0.017228022,0.016719751060009003,0.017943158745765686,0.0012234076857566833
i11_health_Very willing,0.01683819,0.016035220120102167,0.017884770408272743,0.001849550288170576
PHQ4_4_Not at all,0.016639434,0.015975110698491335,0.017742307856678963,0.0017671971581876278
employment_status_Not working,0.016532186,0.01598358852788806,0.01693784212693572,0.0009542535990476608
state_Western Australia,0.01596923,0.015326434513553977,0.01651571597903967,0.001189281465485692
WCRex2_A lot of confidence,0.015472603,0.014799345284700394,0.016230302397161722,0.0014309571124613285
PHQ4_3_N/A,0.015124986,0.013612660113722086,0.016182958614081144,0.0025702985003590584
PHQ4_4_Prefer not to say,0.014860863,0.01384078012779355,0.01630455581471324,0.002463775686919689
employment_status_Retired,0.01466055,0.014007007237523794,0.015270311152562499,0.0012633039150387049
PHQ4_3_Several days,0.014391878,0.013956340728327632,0.01526200887747109,0.0013056681491434574
state_Victoria,0.014387004,0.013721844647079706,0.01601864118129015,0.0022967965342104435
employment_status_Part time employment,0.013949771,0.013355624862015247,0.014325435273349285,0.0009698104113340378
WCRex1_Very well,0.013946934,0.013350224122405052,0.014483886072412133,0.001133661950007081
state_Queensland,0.01391936,0.013285106280818582,0.014693353325128555,0.0014082470443099737
state_South Australia,0.013893604,0.01358890044502914,0.01429902226664126,0.0007101218216121197
WCRex1_Somewhat badly,0.01385241,0.013065815903246403,0.014795554103329778,0.001729738200083375
cantril_ladder,0.013831278,0.013511633966118097,0.014158622594550252,0.0006469886284321547
i2_health,0.013784321,0.013499302556738257,0.014067036332562566,0.0005677337758243084
PHQ4_1_Several days,0.013727057,0.01297850557602942,0.014218164840713143,0.0012396592646837234
d1_comorbidities_Yes,0.0135366395,0.013024449115619063,0.015070330584421754,0.0020458814688026905
PHQ4_2_Not at all,0.013507409,0.012572086183354259,0.013802421279251575,0.001230335095897317
PHQ4_2_N/A,0.013343819,0.011319759534671903,0.016012907959520817,0.004693148424848914
WCRex2_Not very much confidence,0.013262736,0.01245686854235828,0.014075529994443059,0.0016186614520847797
gender_Male,0.013237579,0.012877412838861346,0.013655070215463638,0.0007776573766022921
PHQ4_3_Nearly every day,0.013165576,0.01227423595264554,0.014213758986443281,0.001939523033797741
PHQ4_2_Several days,0.013094168,0.01243013609200716,0.013822147622704506,0.0013920115306973457
i11_health_Somewhat unwilling,0.013050383,0.012324800482019782,0.014195082476362586,0.001870281994342804
i9_health_Not sure,0.01300179,0.01242750696837902,0.013656185707077384,0.0012286787386983633
employment_status_Unemployed,0.012853518,0.012471892638131976,0.013234978076070547,0.000763085437938571
PHQ4_1_N/A,0.012791494,0.011537638492882252,0.014100263826549053,0.0025626253336668015
PHQ4_4_Nearly every day,0.0127527695,0.01194641343317926,0.013763706432655454,0.0018172929994761944
PHQ4_1_Not at all,0.012689918,0.01197294844314456,0.013431180268526077,0.0014582318253815174
PHQ4_3_Not at all,0.0124063715,0.011500601191073656,0.01328866253606975,0.0017880613449960947
d1_comorbidities_Prefer_not_to_say,0.012342906,0.011157935485243797,0.01376823615282774,0.0026103006675839424
WCRex2_Don't know,0.012237066,0.011639665579423308,0.012829896528273821,0.0011902309488505125
household_size,0.012158424,0.011944634607061744,0.012505747145041823,0.0005611125379800797
i11_health_Somewhat willing,0.012057727,0.011413049418479204,0.012675431091338396,0.001262381672859192
PHQ4_2_Nearly every day,0.011928924,0.010973607655614614,0.012559662573039532,0.0015860549174249172
state_Northern Territory,0.011745429,0.011202172143384814,0.0128096635453403,0.0016074914019554853
d1_comorbidities_No,0.011611108,0.011098980205133557,0.01211401098407805,0.0010150307789444923
WCRex1_Very badly,0.011463521,0.010810957057401538,0.012084935093298554,0.0012739780358970165
PHQ4_4_Several days,0.011434293,0.010754966177046299,0.012098066508769989,0.00134310033172369
i11_health_Not sure,0.011309763,0.010711013339459896,0.012152993818745017,0.001441980479285121
WCRex1_Somewhat well,0.011005687,0.010375807760283351,0.011393365915864706,0.001017558155581355
PHQ4_3_Prefer not to say,0.010503545,0.008957438403740525,0.012156414799392223,0.003198976395651698
PHQ4_2_Prefer not to say,0.01011847,0.009123151190578938,0.011441951151937246,0.002318799961358309
WCRex2_No confidence at all,0.010047276,0.009620828554034233,0.011215990874916315,0.001595162320882082
i11_health_Very unwilling,0.009631498,0.008404280059039593,0.010685027576982975,0.0022807475179433823
PHQ4_1_Nearly every day,0.00953278,0.00894618732854724,0.010640200460329652,0.0016940131317824125
PHQ4_1_Prefer not to say,0.009476829,0.008664872031658888,0.01077169831842184,0.002106826286762953
PHQ4_4_N/A,0.008683432,0.0,0.012508898973464966,0.012508898973464966
