_vname_,_label_,_x_,_yhat_,_ids_
state_New South Wales,model_1a_xgboost_explainer,0.0,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.01,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.02,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.03,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.04,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.05,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.06,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.07,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.08,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.09,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.1,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.11,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.12,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.13,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.14,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.15,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.16,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.17,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.18,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.19,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.2,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.21,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.22,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.23,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.24,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.25,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.26,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.27,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.28,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.29,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.3,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.31,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.32,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.33,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.34,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.35000000000000003,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.36,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.37,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.38,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.39,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.4,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.41000000000000003,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.42,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.43,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.44,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.45,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.46,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.47000000000000003,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.48,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.49,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.5,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.51,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.52,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.53,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.54,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.55,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.56,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.5700000000000001,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.58,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.59,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.6,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.61,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.62,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.63,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.64,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.65,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.66,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.67,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.68,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.6900000000000001,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.7000000000000001,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.71,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.72,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.73,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.74,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.75,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.76,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.77,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.78,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.79,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.8,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.81,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.8200000000000001,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.8300000000000001,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.84,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.85,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.86,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.87,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.88,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.89,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.9,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.91,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.92,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.93,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.9400000000000001,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.9500000000000001,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.96,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.97,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.98,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,0.99,0.36123496,0
state_New South Wales,model_1a_xgboost_explainer,1.0,0.5789955,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,1.0,0.169928,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,1.04,0.169928,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,1.08,0.169928,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,1.12,0.169928,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,1.16,0.169928,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,1.2,0.169928,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,1.24,0.169928,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,1.28,0.169928,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,1.32,0.169928,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,1.3599999999999999,0.169928,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,1.4,0.169928,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,1.44,0.169928,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,1.48,0.169928,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,1.52,0.169928,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,1.56,0.169928,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,1.6,0.169928,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,1.6400000000000001,0.169928,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,1.6800000000000002,0.169928,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,1.72,0.169928,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,1.76,0.169928,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,1.8,0.169928,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,1.8399999999999999,0.169928,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,1.88,0.169928,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,1.92,0.169928,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,1.96,0.169928,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,2.0,0.27938986,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,2.04,0.27938986,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,2.08,0.27938986,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,2.12,0.27938986,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,2.16,0.27938986,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,2.2,0.27938986,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,2.24,0.27938986,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,2.2800000000000002,0.27938986,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,2.3200000000000003,0.27938986,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,2.3600000000000003,0.27938986,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,2.4000000000000004,0.27938986,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,2.44,0.27938986,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,2.48,0.27938986,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,2.52,0.27938986,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,2.56,0.27938986,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,2.6,0.27938986,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,2.64,0.27938986,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,2.6799999999999997,0.27938986,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,2.7199999999999998,0.27938986,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,2.76,0.27938986,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,2.8,0.27938986,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,2.84,0.27938986,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,2.88,0.27938986,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,2.92,0.27938986,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,2.96,0.27938986,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,3.0,0.37354633,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,3.04,0.37354633,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,3.08,0.37354633,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,3.12,0.37354633,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,3.16,0.37354633,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,3.2,0.37354633,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,3.24,0.37354633,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,3.2800000000000002,0.37354633,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,3.32,0.37354633,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,3.36,0.37354633,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,3.4,0.37354633,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,3.44,0.37354633,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,3.48,0.37354633,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,3.52,0.37354633,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,3.56,0.37354633,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,3.6,0.37354633,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,3.64,0.37354633,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,3.68,0.37354633,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,3.72,0.37354633,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,3.7600000000000002,0.37354633,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,3.8000000000000003,0.37354633,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,3.84,0.37354633,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,3.88,0.37354633,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,3.92,0.37354633,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,3.96,0.37354633,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,4.0,0.535618,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,4.04,0.535618,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,4.08,0.535618,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,4.12,0.535618,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,4.16,0.535618,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,4.2,0.535618,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,4.24,0.535618,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,4.28,0.535618,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,4.32,0.535618,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,4.359999999999999,0.535618,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,4.4,0.535618,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,4.4399999999999995,0.535618,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,4.48,0.535618,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,4.52,0.535618,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,4.5600000000000005,0.535618,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,4.6,0.535618,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,4.640000000000001,0.535618,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,4.68,0.535618,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,4.720000000000001,0.535618,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,4.76,0.535618,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,4.800000000000001,0.535618,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,4.84,0.535618,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,4.88,0.535618,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,4.92,0.535618,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,4.96,0.535618,0
protective_behaviour_nomask_scale,model_1a_xgboost_explainer,5.0,0.6153892,0
r1_1,model_1a_xgboost_explainer,1.0,0.38583383,0
r1_1,model_1a_xgboost_explainer,1.06,0.38583383,0
r1_1,model_1a_xgboost_explainer,1.12,0.38583383,0
r1_1,model_1a_xgboost_explainer,1.18,0.38583383,0
r1_1,model_1a_xgboost_explainer,1.24,0.38583383,0
r1_1,model_1a_xgboost_explainer,1.3,0.38583383,0
r1_1,model_1a_xgboost_explainer,1.3599999999999999,0.38583383,0
r1_1,model_1a_xgboost_explainer,1.42,0.38583383,0
r1_1,model_1a_xgboost_explainer,1.48,0.38583383,0
r1_1,model_1a_xgboost_explainer,1.54,0.38583383,0
r1_1,model_1a_xgboost_explainer,1.6,0.38583383,0
r1_1,model_1a_xgboost_explainer,1.66,0.38583383,0
r1_1,model_1a_xgboost_explainer,1.72,0.38583383,0
r1_1,model_1a_xgboost_explainer,1.78,0.38583383,0
r1_1,model_1a_xgboost_explainer,1.8399999999999999,0.38583383,0
r1_1,model_1a_xgboost_explainer,1.9,0.38583383,0
r1_1,model_1a_xgboost_explainer,1.96,0.38583383,0
r1_1,model_1a_xgboost_explainer,2.02,0.37841037,0
r1_1,model_1a_xgboost_explainer,2.08,0.37841037,0
r1_1,model_1a_xgboost_explainer,2.1399999999999997,0.37841037,0
r1_1,model_1a_xgboost_explainer,2.2,0.37841037,0
r1_1,model_1a_xgboost_explainer,2.26,0.37841037,0
r1_1,model_1a_xgboost_explainer,2.32,0.37841037,0
r1_1,model_1a_xgboost_explainer,2.38,0.37841037,0
r1_1,model_1a_xgboost_explainer,2.44,0.37841037,0
r1_1,model_1a_xgboost_explainer,2.5,0.37841037,0
r1_1,model_1a_xgboost_explainer,2.56,0.37841037,0
r1_1,model_1a_xgboost_explainer,2.62,0.37841037,0
r1_1,model_1a_xgboost_explainer,2.6799999999999997,0.37841037,0
r1_1,model_1a_xgboost_explainer,2.74,0.37841037,0
r1_1,model_1a_xgboost_explainer,2.8,0.37841037,0
r1_1,model_1a_xgboost_explainer,2.86,0.37841037,0
r1_1,model_1a_xgboost_explainer,2.92,0.37841037,0
r1_1,model_1a_xgboost_explainer,2.98,0.37841037,0
r1_1,model_1a_xgboost_explainer,3.04,0.38422439,0
r1_1,model_1a_xgboost_explainer,3.1,0.38422439,0
r1_1,model_1a_xgboost_explainer,3.16,0.38422439,0
r1_1,model_1a_xgboost_explainer,3.2199999999999998,0.38422439,0
r1_1,model_1a_xgboost_explainer,3.28,0.38422439,0
r1_1,model_1a_xgboost_explainer,3.34,0.38422439,0
r1_1,model_1a_xgboost_explainer,3.4,0.38422439,0
r1_1,model_1a_xgboost_explainer,3.46,0.38422439,0
r1_1,model_1a_xgboost_explainer,3.52,0.38422439,0
r1_1,model_1a_xgboost_explainer,3.58,0.38422439,0
r1_1,model_1a_xgboost_explainer,3.6399999999999997,0.38422439,0
r1_1,model_1a_xgboost_explainer,3.6999999999999997,0.38422439,0
r1_1,model_1a_xgboost_explainer,3.76,0.38422439,0
r1_1,model_1a_xgboost_explainer,3.82,0.38422439,0
r1_1,model_1a_xgboost_explainer,3.88,0.38422439,0
r1_1,model_1a_xgboost_explainer,3.94,0.38422439,0
r1_1,model_1a_xgboost_explainer,4.0,0.40667126,0
r1_1,model_1a_xgboost_explainer,4.0600000000000005,0.40667126,0
r1_1,model_1a_xgboost_explainer,4.12,0.40667126,0
r1_1,model_1a_xgboost_explainer,4.18,0.40667126,0
r1_1,model_1a_xgboost_explainer,4.24,0.40667126,0
r1_1,model_1a_xgboost_explainer,4.3,0.40667126,0
r1_1,model_1a_xgboost_explainer,4.359999999999999,0.40667126,0
r1_1,model_1a_xgboost_explainer,4.42,0.40667126,0
r1_1,model_1a_xgboost_explainer,4.48,0.40667126,0
r1_1,model_1a_xgboost_explainer,4.54,0.40667126,0
r1_1,model_1a_xgboost_explainer,4.6,0.40667126,0
r1_1,model_1a_xgboost_explainer,4.66,0.40667126,0
r1_1,model_1a_xgboost_explainer,4.72,0.40667126,0
r1_1,model_1a_xgboost_explainer,4.779999999999999,0.40667126,0
r1_1,model_1a_xgboost_explainer,4.84,0.40667126,0
r1_1,model_1a_xgboost_explainer,4.9,0.40667126,0
r1_1,model_1a_xgboost_explainer,4.96,0.40667126,0
r1_1,model_1a_xgboost_explainer,5.02,0.46781433,0
r1_1,model_1a_xgboost_explainer,5.08,0.46781433,0
r1_1,model_1a_xgboost_explainer,5.14,0.46781433,0
r1_1,model_1a_xgboost_explainer,5.2,0.46781433,0
r1_1,model_1a_xgboost_explainer,5.26,0.46781433,0
r1_1,model_1a_xgboost_explainer,5.32,0.46781433,0
r1_1,model_1a_xgboost_explainer,5.38,0.46781433,0
r1_1,model_1a_xgboost_explainer,5.4399999999999995,0.46781433,0
