feature,median_importance,q1,q3,iqr
protective_behaviour_nomask_scale,0.214154443884473,0.2128511000778049,0.21689842037493742,0.004047320297132534
week_number,0.19889596252027086,0.19738402209649705,0.2009723252099576,0.0035883031134605337
state_Queensland,0.0825568557319559,0.08112339274395958,0.08383892875115655,0.0027155360071969697
state_Western Australia,0.07627736480697953,0.07496286590280801,0.07786448700036273,0.0029016210975547213
age,0.0651686841809404,0.06417466972523247,0.06584007040509601,0.001665400679863538
i2_health,0.04413478179772413,0.043620583111839556,0.04456615009701783,0.0009455669851782741
r1_2,0.030853783750651946,0.03045138846818632,0.03135162109134887,0.0009002326231625501
r1_1,0.03055935897159811,0.03005547324257115,0.03100320423943484,0.0009477309968636896
cantril_ladder,0.03008381265461616,0.02967707292543104,0.030536986730424317,0.0008599138049932772
household_size,0.027912930612957382,0.027213235890202025,0.02847882675600006,0.0012655908657980344
i11_health_Very willing,0.025173956071574053,0.024616551444147615,0.025944836502166325,0.0013282850580187099
state_Tasmania,0.014115669549024816,0.013599275216801331,0.01448335090970121,0.0008840756928998779
i9_health_Yes,0.009685164245727289,0.009302389753060697,0.010198481649645734,0.000896091896585037
gender_Male,0.0094158572381387,0.00907752992825826,0.009571601683652217,0.0004940717553939579
WCRex1_Somewhat well,0.006899747225643583,0.006697977862569237,0.007125121013560785,0.0004271431509915479
WCRex2_A lot of confidence,0.00623800156797075,0.0059419408330617885,0.006574001218449965,0.0006320603853881765
WCRex1_Very well,0.005512171272592521,0.005159927610199832,0.005891661067555225,0.0007317334573553923
WCRex1_Very badly,0.0054493794549878285,0.005179181268634068,0.005799540458142136,0.0006203591895080681
employment_status_Part time employment,0.005416847519004219,0.0052045288371846115,0.005673961984446268,0.00046943314726165686
WCRex1_Somewhat badly,0.005269535169042192,0.0051420822246713935,0.0054900614878091065,0.000347979263137713
WCRex2_Not very much confidence,0.005221788753530791,0.005008784124098363,0.00543064002672672,0.0004218559026283571
d1_comorbidities_Yes,0.00499682321958581,0.004789344658929097,0.005166329863768832,0.00037698520483973527
employment_status_Not working,0.0049264729443274655,0.004640298384595903,0.005186788976417172,0.0005464905918212692
i11_health_Somewhat willing,0.004906742484561431,0.004725669474935712,0.0051252434190131434,0.0003995739440774311
PHQ4_1_Several days,0.004638583013699122,0.004541516981955594,0.004789761593169645,0.0002482446112140515
PHQ4_2_Several days,0.0046351349256625925,0.004473143331488768,0.004848064814440468,0.0003749214829517006
i9_health_Not sure,0.004622237160622758,0.004375254177735763,0.004922494570910869,0.0005472403931751062
PHQ4_1_Not at all,0.004495270780557209,0.004300329264811647,0.004631626106176571,0.00033129684136492393
d1_comorbidities_No,0.004427379920511579,0.004327713289241466,0.004630220966162405,0.00030250767692093904
employment_status_Retired,0.004330467050092805,0.00403334244159947,0.004596772535885374,0.0005634300942859039
PHQ4_4_Not at all,0.004288394086980783,0.004081544692186173,0.004404804406317634,0.0003232597141314608
PHQ4_4_Several days,0.004274873409978288,0.004107304524312115,0.004487570556713773,0.0003802660324016575
PHQ4_2_Not at all,0.0042659932601633865,0.004136582588906929,0.004431360484634421,0.0002947778957274917
PHQ4_3_Several days,0.00424934619002372,0.0041176682571409055,0.004394313491324464,0.00027664523418355867
employment_status_Unemployed,0.003928703797964762,0.003752218982694913,0.004164093473341793,0.00041187449064687947
PHQ4_3_Not at all,0.003891744196031457,0.003734380416391194,0.0040747947279006266,0.00034041431150943265
WCRex2_No confidence at all,0.0037600155122998165,0.0034739448796787184,0.004115158099994988,0.0006412132203162694
state_Victoria,0.0030642574485085713,0.0027011851563524926,0.003403708574028893,0.0007025234176764004
PHQ4_3_Nearly every day,0.0028466355248445456,0.0027150740421534214,0.0031074617585841336,0.0003923877164307122
PHQ4_1_Nearly every day,0.0027604323775770193,0.002540757623313903,0.002908783654477537,0.0003680260311636342
PHQ4_2_Nearly every day,0.0027280580041996174,0.002565666113158143,0.0029417532088125823,0.00037608709565443944
PHQ4_4_Nearly every day,0.002638657834920587,0.0023794155596962422,0.0027387686655841303,0.00035935310588788806
state_New South Wales,0.0022038721183132663,0.002018155618100313,0.0023700061213507797,0.0003518505032504668
state_South Australia,0.001890489647081957,0.0017117982562440983,0.0020021085190699735,0.0002903102628258752
WCRex2_Don't know,0.0016462397467286174,0.0014357663955422014,0.0017825600332813005,0.00034679363773909913
i11_health_Somewhat unwilling,0.0013188504426310677,0.001161338474080566,0.0014829563225127681,0.00032161784843220205
state_Northern Territory,0.0011892382414404063,0.0010345319512210945,0.0014784011450661469,0.00044386919384505237
i11_health_Very unwilling,0.0010347089443572641,0.0009631684665188862,0.001188111005322029,0.00022494253880314284
PHQ4_2_N/A,0.0009662572933731837,0.0009195866178187994,0.0010548205182345943,0.0001352339004157949
PHQ4_3_N/A,0.000917663177097659,0.0008859157248252324,0.000971460418365712,8.554469354047961e-05
PHQ4_4_N/A,0.0008118337725803266,0.000762463453749357,0.0008538618467769821,9.139839302762512e-05
PHQ4_1_N/A,0.0007898043302664587,0.0007321414485370768,0.0008182638365903398,8.612238805326303e-05
d1_comorbidities_Prefer_not_to_say,0.0007103386572169734,0.0006537994994551299,0.0008194922451274721,0.00016569274567234228
i11_health_Not sure,0.000552661570561074,0.00048585523261694707,0.0006068196206031819,0.00012096438798623482
PHQ4_4_Prefer not to say,0.0003770181823922211,0.000311968440981202,0.0005121675263455995,0.0002001990853643975
PHQ4_3_Prefer not to say,0.000277556187126,0.00023796662778951484,0.00032257263865543114,8.46060108659163e-05
PHQ4_1_Prefer not to say,0.00022103628635559806,0.0001455247606944194,0.0002999092345347761,0.00015438447384035669
PHQ4_2_Prefer not to say,0.0001371296873497278,0.0001017479010403837,0.00017547992733267861,7.373202629229491e-05
