run_id,seed,i2_health,age,household_size,cantril_ladder,r1_1,r1_2,protective_behaviour_nomask_scale,week_number,state_New South Wales,state_Northern Territory,state_Queensland,state_South Australia,state_Tasmania,state_Victoria,state_Western Australia,gender_Male,i9_health_Not sure,i9_health_Yes,employment_status_Not working,employment_status_Part time employment,employment_status_Retired,employment_status_Unemployed,i11_health_Not sure,i11_health_Somewhat unwilling,i11_health_Somewhat willing,i11_health_Very unwilling,i11_health_Very willing,WCRex1_Somewhat badly,WCRex1_Somewhat well,WCRex1_Very badly,WCRex1_Very well,WCRex2_A lot of confidence,WCRex2_Don't know,WCRex2_No confidence at all,WCRex2_Not very much confidence,PHQ4_1_N/A,PHQ4_1_Nearly every day,PHQ4_1_Not at all,PHQ4_1_Prefer not to say,PHQ4_1_Several days,PHQ4_2_N/A,PHQ4_2_Nearly every day,PHQ4_2_Not at all,PHQ4_2_Prefer not to say,PHQ4_2_Several days,PHQ4_3_N/A,PHQ4_3_Nearly every day,PHQ4_3_Not at all,PHQ4_3_Prefer not to say,PHQ4_3_Several days,PHQ4_4_N/A,PHQ4_4_Nearly every day,PHQ4_4_Not at all,PHQ4_4_Prefer not to say,PHQ4_4_Several days,d1_comorbidities_No,d1_comorbidities_Prefer_not_to_say,d1_comorbidities_Yes
1,20240627,0.007081484,0.007918417,0.006984736,0.0071023786,0.009371725,0.008145931,0.07937282,0.031419173,0.078646734,0.0112062115,0.10659816,0.0405808,0.04846236,0.07855158,0.15719911,0.0061406046,0.009563028,0.012042363,0.008372138,0.006143692,0.009169741,0.006935213,0.004295933,0.0072150887,0.00724223,0.01225465,0.026431365,0.006714254,0.0061121974,0.0076808874,0.008075745,0.008199202,0.0065356633,0.008488303,0.0066544446,0.005869749,0.006564414,0.0061751404,0.0073580216,0.005347721,0.005945076,0.0060061044,0.0066637164,0.0071968934,0.0057483222,0.0068350183,0.005875481,0.006451665,0.0067625334,0.0059333583,0.0072965114,0.0062888023,0.006756334,0.007820617,0.005632835,0.0061212615,0.006848365,0.0055937464
2,20240628,0.0068289754,0.007832464,0.0074377274,0.0071187806,0.008441038,0.00798615,0.08791078,0.028218402,0.0689919,0.010489071,0.11566375,0.042337954,0.04508896,0.07007365,0.16257566,0.006533648,0.009304181,0.011017222,0.008165759,0.006249772,0.008783645,0.006840516,0.004656401,0.007751785,0.007524288,0.012206651,0.026592502,0.0066428324,0.005809375,0.008685502,0.008173795,0.008333154,0.005947818,0.008182192,0.006205298,0.005859124,0.007235624,0.005935952,0.006966428,0.0054364265,0.006002899,0.0063602086,0.0065323683,0.009365086,0.0057785427,0.0074688764,0.006638405,0.006438881,0.005010801,0.0055678785,0.006932023,0.0061408947,0.006506128,0.0070836567,0.0058439267,0.0061811544,0.0077868295,0.006326363
3,20240629,0.0066539175,0.007339393,0.006680946,0.006577324,0.007210456,0.007423381,0.0795225,0.025996787,0.06823881,0.0116854515,0.11981697,0.040023368,0.04177011,0.06988393,0.20055133,0.005658818,0.009086175,0.010690326,0.0072876127,0.005509124,0.008128336,0.0065727346,0.005129414,0.006277642,0.007044079,0.011775017,0.021679526,0.006103178,0.0055953953,0.007138285,0.0077552972,0.008363172,0.00621207,0.009479347,0.0066144695,0.005223791,0.006244369,0.005964218,0.009775902,0.005190545,0.00543955,0.0057207206,0.0058237333,0.0068174405,0.0054705176,0.0055277916,0.006311476,0.0060205474,0.004559652,0.00527166,0.0061509027,0.00622497,0.0059336023,0.0060115242,0.005079695,0.005971164,0.0074174074,0.0063741514
4,20240630,0.0069544534,0.0076916316,0.0069308784,0.007018727,0.008909327,0.008341441,0.08582299,0.027775407,0.07010647,0.011816039,0.10838667,0.045041263,0.04502063,0.08084079,0.15136328,0.0061491006,0.008918995,0.012708392,0.0074565476,0.006212941,0.008149606,0.0070853746,0.0059618945,0.006821326,0.0068998775,0.014759969,0.030002264,0.006709056,0.0061407746,0.0083683785,0.008533738,0.008664832,0.0069271373,0.00906391,0.0064102276,0.0057031987,0.0067273336,0.00630116,0.0059259613,0.0055205473,0.006745759,0.0072071217,0.0067405007,0.008575904,0.0058591105,0.0053857192,0.006208794,0.0065895976,0.004966561,0.005816862,0.007388715,0.0056029377,0.0064400793,0.0070904433,0.005589203,0.006235143,0.006630076,0.006784961
5,20240631,0.006920365,0.0075314324,0.0069424366,0.0066959206,0.007973605,0.00782231,0.07687352,0.029271793,0.06723599,0.0078111463,0.09961106,0.033816103,0.04883239,0.092249215,0.19394848,0.005836392,0.009130215,0.012952169,0.007594428,0.00613617,0.007564498,0.0063482863,0.0048680413,0.00587057,0.0072897393,0.01363108,0.026104944,0.006085724,0.005982417,0.0066466904,0.007596756,0.0075238748,0.0062749726,0.0076543195,0.0064991065,0.005623439,0.0058969185,0.0057526175,0.005995777,0.0051489444,0.0058695753,0.0059830947,0.006106612,0.0073564816,0.005393638,0.006488265,0.0058709336,0.006390923,0.004747162,0.005352369,0.007601975,0.005786479,0.006168855,0.006862705,0.005450857,0.006172792,0.006886925,0.00596648
6,20240632,0.007093041,0.0077830856,0.007344308,0.0068616658,0.00842648,0.008002012,0.078640535,0.026350766,0.07799328,0.010336245,0.10266045,0.051049884,0.039524823,0.08125891,0.16632606,0.0065495432,0.008659103,0.011373314,0.00691701,0.0062761847,0.00871329,0.0063788886,0.0047553447,0.0060199103,0.007278178,0.013043897,0.028825706,0.006793259,0.0063122846,0.006992795,0.007865278,0.008345245,0.006957216,0.0078625055,0.006369627,0.005663626,0.0064024455,0.0059743742,0.0073313885,0.0055842474,0.0059827343,0.006065935,0.007134395,0.009096651,0.0061304346,0.0064763385,0.006259574,0.005758169,0.004650066,0.0058273724,0.008305413,0.0057713795,0.0065073515,0.007906591,0.0058103753,0.0062276,0.0067897197,0.0064036357
7,20240633,0.0073038223,0.0075565767,0.0070113745,0.0070827296,0.00852518,0.008249314,0.083687656,0.028943477,0.07091914,0.013331794,0.107065186,0.038899023,0.04341009,0.08666133,0.16424483,0.0059383935,0.008476185,0.012229754,0.008069764,0.0061643138,0.008311498,0.0069923755,0.0047945245,0.0076350854,0.0069129844,0.013496023,0.023772284,0.0067032375,0.005683464,0.007864226,0.007806779,0.008453819,0.007378799,0.008071681,0.006542466,0.006148631,0.006489007,0.005949581,0.008636239,0.005577819,0.006489611,0.006619227,0.006412369,0.005638869,0.0058092307,0.007282863,0.00558773,0.0062383213,0.004247438,0.0054997634,0.007966088,0.005836339,0.0066677136,0.008319426,0.005621563,0.006242171,0.005988377,0.0065424307
8,20240634,0.007133238,0.0073089805,0.0068599535,0.006894546,0.0090305535,0.008281495,0.07840964,0.027659902,0.09886653,0.010618089,0.08039226,0.04652745,0.034890927,0.09485723,0.15485108,0.0059153475,0.011636179,0.0123426635,0.007977567,0.006118786,0.008522419,0.006873853,0.006029973,0.00679941,0.0072854976,0.013090493,0.026891194,0.0059963376,0.0059300703,0.007462054,0.008694891,0.008916706,0.0074380077,0.009295581,0.0067907805,0.005880679,0.006948602,0.00615397,0.0069862986,0.0053868657,0.0061312593,0.0064857,0.0066524222,0.006453457,0.0055156546,0.0073857005,0.005880923,0.006614473,0.00661552,0.0056727417,0.008330365,0.0056944764,0.006970592,0.0064837122,0.0056025526,0.0064517558,0.00668959,0.0064230203
9,20240635,0.006342397,0.007087043,0.0061450894,0.006121859,0.007769381,0.006952851,0.0838846,0.025567068,0.07846372,0.012273679,0.09311878,0.039704185,0.041370165,0.079868734,0.21861395,0.005460103,0.008311935,0.010764312,0.0068384847,0.005637679,0.008328583,0.0056599425,0.004289998,0.006363715,0.006354361,0.010314815,0.02594227,0.005569603,0.005438231,0.0070054466,0.00763,0.008147858,0.0064836987,0.0077101504,0.006025716,0.0049173418,0.0054949233,0.0056519313,0.004563578,0.004847451,0.0055080433,0.0056219543,0.005760868,0.006923881,0.004944575,0.006903469,0.0053411233,0.0060603805,0.004324872,0.0048315073,0.0068884967,0.005054798,0.00565885,0.005623994,0.005222247,0.0053060553,0.00717607,0.005813243
10,20240636,0.006564424,0.0070096296,0.0063858223,0.006729004,0.0077876337,0.0072981576,0.08076765,0.024667477,0.072382025,0.011170188,0.10445081,0.043566152,0.035665732,0.08049572,0.21316636,0.005814955,0.009439496,0.0105406605,0.0072756754,0.0054298462,0.008531627,0.0064413864,0.004757732,0.006866176,0.0064670965,0.010749275,0.024315456,0.005685049,0.005524613,0.0069435267,0.0076694973,0.008102334,0.005892251,0.007904466,0.0059832656,0.005113648,0.0063037914,0.005134764,0.0070575816,0.0049905563,0.0051662317,0.0056562615,0.006035699,0.0060594617,0.005422536,0.0059252214,0.005425195,0.0058021303,0.006647072,0.0049377955,0.0058286316,0.0054730466,0.0060347747,0.004503173,0.005152258,0.0062573897,0.006936607,0.0056949956
11,20240637,0.006885574,0.007437152,0.006742843,0.0064919353,0.008438959,0.0076416642,0.08690338,0.026207987,0.066798486,0.01142403,0.11489775,0.035919048,0.036367305,0.079908155,0.19336955,0.005930633,0.008619042,0.010717148,0.0074791014,0.0060258885,0.009135198,0.006573046,0.0040709735,0.0059014778,0.0068603167,0.013578296,0.022262404,0.0067090066,0.0057327477,0.0076187626,0.007794559,0.0084058,0.0060716965,0.007964155,0.0066503333,0.005206967,0.00680206,0.0062533747,0.0070682373,0.005278052,0.0056307022,0.0066332896,0.0058878823,0.008295101,0.005693093,0.0069055,0.005483525,0.0061483136,0.004949454,0.0052573313,0.007355039,0.0061102393,0.00623818,0.007005339,0.005477594,0.006142086,0.004761039,0.005883173
