feature,importance
i2_health,0.12924317084307638
week_number,0.10983328120281846
r1_1,0.0865939280331432
age,0.0661072128864266
r1_2,0.04263421577516422
cantril_ladder,0.04260170758412012
within_mandate_period,0.03843113465285969
state_Victoria,0.0366974127413315
household_size,0.03339683718769865
i11_health_Very willing,0.02930155286960171
state_Western Australia,0.0278464731034752
i9_health_Yes,0.022998559814599258
state_New South Wales,0.022790880246431854
state_Queensland,0.01702424405607226
i9_health_Not sure,0.014060658469636968
gender_Male,0.013204579312003327
employment_status_Part time employment,0.011523988955680988
WCRex1_Somewhat well,0.010916319366281377
WCRex2_A lot of confidence,0.010554047444391618
i11_health_Somewhat willing,0.00981950778576556
d1_comorbidities_Yes,0.00960390651706136
d1_comorbidities_No,0.009520814668160462
WCRex1_Very well,0.009401979577194632
WCRex2_Not very much confidence,0.008845619554858979
PHQ4_3_Several days,0.008653878807318147
WCRex1_Somewhat badly,0.008620071110651242
PHQ4_1_Several days,0.008578723814634051
PHQ4_1_Not at all,0.008555136401044479
PHQ4_2_Not at all,0.00830637459144323
PHQ4_4_Several days,0.008214013628438523
PHQ4_2_Several days,0.008204813099450071
employment_status_Retired,0.008176022127218664
PHQ4_4_Not at all,0.00815897847670842
employment_status_Unemployed,0.007948183080437961
PHQ4_3_Not at all,0.007874553665731655
employment_status_Not working,0.007774938711880675
WCRex1_Very badly,0.00773988618761767
PHQ4_1_Nearly every day,0.006689221970220107
state_South Australia,0.006660732652660591
PHQ4_4_Nearly every day,0.006175232223404776
PHQ4_3_Nearly every day,0.005982660808629483
WCRex2_No confidence at all,0.005627471404355431
PHQ4_2_Nearly every day,0.005334415477095483
state_Tasmania,0.004994642076096919
i11_health_Very unwilling,0.004857012542042502
WCRex2_Don't know,0.004362855807438731
i11_health_Somewhat unwilling,0.004175239983233442
PHQ4_3_N/A,0.0032389334944206657
PHQ4_2_N/A,0.003169831114221341
PHQ4_1_N/A,0.0031608482925370982
PHQ4_4_N/A,0.0030824096797952413
d1_comorbidities_Prefer_not_to_say,0.0026256239712688025
i11_health_Not sure,0.002404930843260936
PHQ4_4_Prefer not to say,0.001698924568090923
state_Northern Territory,0.0016341384379870915
PHQ4_2_Prefer not to say,0.0016145123554641425
PHQ4_3_Prefer not to say,0.001439809118546922
PHQ4_1_Prefer not to say,0.0013129468288002307
