feature,importance
i2_health,0.1670928338345914
r1_1,0.10617218177842189
age,0.0805334775398516
week_number,0.07987036174174796
r1_2,0.05080807295962138
cantril_ladder,0.049421481355499286
household_size,0.03996826458996648
state_New South Wales,0.03477891662960386
i9_health_Yes,0.019077573816240742
i11_health_Very willing,0.01901427750012726
gender_Male,0.016455741827973734
i9_health_Not sure,0.014323500284140703
employment_status_Part time employment,0.013833864981829615
WCRex2_A lot of confidence,0.013774111802584973
WCRex1_Somewhat well,0.013278072153970553
state_Western Australia,0.012021423491094394
d1_comorbidities_No,0.011832893382490191
WCRex1_Very well,0.011580605544573892
d1_comorbidities_Yes,0.011543766400282006
PHQ4_3_Several days,0.010717526894107366
PHQ4_1_Several days,0.010554559292847175
PHQ4_4_Not at all,0.010484267314278196
PHQ4_1_Not at all,0.010282197229818707
PHQ4_3_Not at all,0.009889766964056688
PHQ4_4_Several days,0.009862311304070163
PHQ4_2_Not at all,0.009832150853523635
PHQ4_2_Several days,0.00978219297517149
i11_health_Somewhat willing,0.009728793285225957
state_Queensland,0.009318451576668411
employment_status_Retired,0.009254001391981265
state_South Australia,0.009205385135453405
employment_status_Unemployed,0.009045812897631388
WCRex2_Not very much confidence,0.008835208371066654
WCRex1_Somewhat badly,0.008494293823739625
employment_status_Not working,0.008298867949987302
PHQ4_1_Nearly every day,0.007779268158991151
PHQ4_4_Nearly every day,0.007336804440012435
state_Victoria,0.007085067814702827
PHQ4_3_Nearly every day,0.006424008348627276
WCRex1_Very badly,0.006260952324621257
state_Tasmania,0.0055605360134682764
PHQ4_2_Nearly every day,0.005515414710308756
i11_health_Somewhat unwilling,0.003669078712722422
WCRex2_Don't know,0.003423064178391205
i11_health_Very unwilling,0.0032505606595925403
WCRex2_No confidence at all,0.0031907661112027122
PHQ4_3_N/A,0.002987344206798333
PHQ4_2_N/A,0.002971776757398518
PHQ4_1_N/A,0.002970792500206945
PHQ4_4_N/A,0.0029013656469904126
state_Northern Territory,0.0023448611831593793
i11_health_Not sure,0.002030376650987228
d1_comorbidities_Prefer_not_to_say,0.0016946034891563888
PHQ4_2_Prefer not to say,0.001184848820477145
PHQ4_4_Prefer not to say,0.0011072478705957708
PHQ4_3_Prefer not to say,0.0008609026011752173
PHQ4_1_Prefer not to say,0.0007678599667856159
