run_id,seed,i2_health,age,household_size,cantril_ladder,r1_1,r1_2,week_number,state_New South Wales,state_Northern Territory,state_Queensland,state_South Australia,state_Tasmania,state_Victoria,state_Western Australia,gender_Male,i9_health_Not sure,i9_health_Yes,employment_status_Not working,employment_status_Part time employment,employment_status_Retired,employment_status_Unemployed,i11_health_Not sure,i11_health_Somewhat unwilling,i11_health_Somewhat willing,i11_health_Very unwilling,i11_health_Very willing,WCRex1_Somewhat badly,WCRex1_Somewhat well,WCRex1_Very badly,WCRex1_Very well,WCRex2_A lot of confidence,WCRex2_Don't know,WCRex2_No confidence at all,WCRex2_Not very much confidence,PHQ4_1_N/A,PHQ4_1_Nearly every day,PHQ4_1_Not at all,PHQ4_1_Prefer not to say,PHQ4_1_Several days,PHQ4_2_N/A,PHQ4_2_Nearly every day,PHQ4_2_Not at all,PHQ4_2_Prefer not to say,PHQ4_2_Several days,PHQ4_3_N/A,PHQ4_3_Nearly every day,PHQ4_3_Not at all,PHQ4_3_Prefer not to say,PHQ4_3_Several days,PHQ4_4_N/A,PHQ4_4_Nearly every day,PHQ4_4_Not at all,PHQ4_4_Prefer not to say,PHQ4_4_Several days,d1_comorbidities_No,d1_comorbidities_Prefer_not_to_say,d1_comorbidities_Yes
1,20240627,0.04149834,0.016119218,0.015019365,0.015581053,0.041547805,0.016056517,0.019180702,0.03288474,0.016994532,0.016294837,0.014397283,0.018169172,0.024869582,0.023126649,0.015261163,0.022599023,0.027258504,0.014796175,0.015345965,0.01355736,0.015916422,0.024297424,0.021881985,0.015060275,0.018734982,0.02488376,0.015733037,0.013676416,0.014704744,0.014644415,0.014527458,0.01637343,0.01327357,0.015008034,0.009258988,0.017679328,0.0139894085,0.013824032,0.012824142,0.014187195,0.015295231,0.015928801,0.015066254,0.013260966,0.014539746,0.015552724,0.016078193,0.012538429,0.012714857,0.020755632,0.016652897,0.015770124,0.016091242,0.013683851,0.014865698,0.013897901,0.0162705
2,20240628,0.042602308,0.014923354,0.014128561,0.015221022,0.03855931,0.015784359,0.017816374,0.03040144,0.014602335,0.017547544,0.0152226975,0.01819233,0.025628185,0.022081727,0.014764307,0.023193186,0.024743335,0.015164865,0.014879014,0.012509736,0.014261773,0.021003047,0.02006044,0.016309844,0.018053798,0.026166666,0.015410013,0.013699593,0.01466089,0.012602213,0.013883832,0.018153744,0.012460531,0.014391076,0.013054702,0.018535057,0.014553821,0.014319156,0.011747293,0.015438326,0.014310872,0.012872237,0.01701771,0.013495168,0.023195833,0.014842086,0.013244283,0.011369335,0.013996084,0.031112988,0.017268572,0.015529584,0.014635869,0.011833932,0.015017592,0.018275855,0.0152501855
3,20240629,0.04330083,0.015141937,0.015006742,0.015582196,0.04141899,0.016720168,0.018533539,0.034607597,0.01619741,0.015730646,0.014008041,0.019075448,0.02737435,0.023123827,0.015752379,0.024537109,0.02576197,0.015031567,0.015309398,0.013775492,0.015510063,0.020287717,0.021819973,0.015700068,0.019231815,0.02635998,0.014911935,0.015043085,0.016147276,0.0150174005,0.014797734,0.020561764,0.012746624,0.014959765,0.012666205,0.017330328,0.013533704,0.014091739,0.013667316,0.016333409,0.013531124,0.014829883,0.015632162,0.0132701015,0.01355139,0.014961127,0.0144731505,0.013288284,0.014267605,0.0049503474,0.018328503,0.016166605,0.016173964,0.014120442,0.014775637,0.014763451,0.016208587
4,20240630,0.04285754,0.015220591,0.014305139,0.015203972,0.038967334,0.017624825,0.018617608,0.03477127,0.015741646,0.016100628,0.013090882,0.018191649,0.025687523,0.022098025,0.014844208,0.023673892,0.025282903,0.014786397,0.016300889,0.013194342,0.016464634,0.019647187,0.02504145,0.017142283,0.019718317,0.027059624,0.014129341,0.014316713,0.0135543225,0.014386355,0.015932051,0.017554518,0.013669549,0.01616684,0.012690992,0.01680457,0.013495021,0.01282156,0.013522031,0.015585496,0.016894978,0.015925901,0.015787454,0.012800992,0.018150298,0.01533141,0.014982176,0.013398168,0.013159986,0.008291078,0.01589291,0.01622812,0.01585522,0.01353836,0.016880197,0.0155425705,0.015076058
5,20240631,0.042339135,0.015077348,0.014092778,0.015134043,0.03819769,0.016233819,0.01824267,0.032508608,0.016726388,0.014817682,0.014115164,0.019052668,0.025717625,0.021820923,0.014705241,0.0252869,0.02576575,0.015135525,0.014344225,0.013422925,0.014743758,0.02210437,0.022280473,0.016467111,0.021150447,0.02398378,0.0140783535,0.012890075,0.013799633,0.0140632,0.016251948,0.016754705,0.013164641,0.013889671,0.012710215,0.017224995,0.014555362,0.014323768,0.013369286,0.0114687905,0.016275287,0.015672436,0.017040191,0.013543187,0.02025331,0.016091594,0.015260558,0.012590414,0.013259636,0.017450832,0.01620272,0.017549602,0.015806165,0.014151252,0.0145388935,0.017042575,0.015259661
6,20240632,0.040175658,0.015213326,0.014294352,0.015266355,0.04038461,0.015163064,0.018144894,0.034456797,0.014900985,0.01505722,0.013789422,0.01727995,0.024218122,0.020539869,0.014507677,0.024166452,0.023467425,0.015184795,0.014621524,0.014145132,0.014846794,0.021617182,0.022624873,0.015950222,0.019730607,0.026904382,0.014957342,0.013698043,0.01361552,0.01309105,0.015690079,0.018141251,0.011924623,0.013350846,0.014201378,0.017279396,0.013127726,0.015571947,0.013844137,0.017677002,0.0136513645,0.016653687,0.017648693,0.0141351875,0.015866624,0.013008161,0.014522573,0.014509431,0.014466434,0.022451757,0.015926735,0.017919552,0.017213935,0.01334153,0.015154289,0.013564013,0.01714396
7,20240633,0.042089324,0.015190566,0.014480083,0.015504203,0.037580878,0.016207432,0.018232107,0.03316089,0.016933499,0.016106682,0.015406985,0.01893184,0.025221635,0.02181904,0.014452025,0.024896083,0.025529416,0.0153614925,0.0148958005,0.014216245,0.01517025,0.02112019,0.024138888,0.017311335,0.021562843,0.02731852,0.013947408,0.013580783,0.01575808,0.014465498,0.014664738,0.01842172,0.012968045,0.01459247,0.01148057,0.016696997,0.013890448,0.013365366,0.013178663,0.013466063,0.014765252,0.013748246,0.016003339,0.013223803,0.020344736,0.01380748,0.014802387,0.011115239,0.0131981475,0.01671507,0.015816662,0.016964702,0.016116979,0.01391771,0.015072435,0.015940135,0.015132592
8,20240634,0.042307775,0.015728926,0.0155968275,0.015312445,0.03999529,0.016098239,0.018380145,0.032032743,0.017660622,0.015539164,0.015483906,0.018825904,0.026454896,0.023607558,0.015086538,0.023984592,0.024957098,0.013789266,0.014933098,0.015528132,0.015385039,0.020185497,0.02236959,0.015927242,0.019929994,0.027737668,0.015067371,0.012216525,0.01624235,0.012522397,0.014296897,0.015623987,0.012943148,0.01453737,0.014044382,0.017189858,0.015022668,0.012645689,0.013523115,0.020672997,0.013750222,0.014120698,0.015421364,0.012991295,0.020654682,0.01664527,0.014064833,0.01921791,0.013093548,0.0,0.016471352,0.016988263,0.01537105,0.013329531,0.015565786,0.017059498,0.015867705
9,20240635,0.040280234,0.014596282,0.014290492,0.014625599,0.03868578,0.015758729,0.017627215,0.032696184,0.01842002,0.015006793,0.01445307,0.016894009,0.025635906,0.022679875,0.014406428,0.023703031,0.02269795,0.0153498035,0.014546504,0.012527906,0.013891648,0.01663431,0.021541182,0.015984649,0.021791918,0.024395864,0.015044585,0.013444196,0.013479682,0.014259512,0.01512139,0.01924287,0.014157279,0.015408054,0.013074372,0.018665643,0.0116244415,0.0149535695,0.012528682,0.017777523,0.015771212,0.013574411,0.01923756,0.01295797,0.017539931,0.014476816,0.014049999,0.013501999,0.01431336,0.03106878,0.016178949,0.016452067,0.013531763,0.012748118,0.015578637,0.015918879,0.015196392
10,20240636,0.045239866,0.015324994,0.01449079,0.015055988,0.03952151,0.016485838,0.018503131,0.034379177,0.016824275,0.015886202,0.015644616,0.019564489,0.025748482,0.023042204,0.014553452,0.02469274,0.02616848,0.015110454,0.014839305,0.014180082,0.01514844,0.020343484,0.021885237,0.015763218,0.01727614,0.024139313,0.01345972,0.012578084,0.014912857,0.0128059555,0.014869328,0.017245352,0.012702708,0.014342952,0.014903135,0.018478667,0.013983508,0.014123942,0.013129908,0.017570518,0.017252544,0.013294795,0.016018908,0.012151928,0.0165838,0.01410571,0.01400142,0.013487197,0.0135772005,0.020528387,0.016190859,0.015143161,0.013342096,0.013298387,0.01500003,0.016769633,0.014335358
