feature,importance
i2_health,0.11505441800359828
week_number,0.10982317058581936
r1_1,0.08224437600762535
age,0.07465638868888341
cantril_ladder,0.047713108926745754
r1_2,0.045142506253128434
household_size,0.03830682009717548
state_Western Australia,0.03819158755921397
i11_health_Very willing,0.034639688290497114
state_New South Wales,0.024953347384438756
state_Queensland,0.024675262135979217
i9_health_Yes,0.02344317788154609
state_Victoria,0.022946222762208132
gender_Male,0.015620403717590086
employment_status_Part time employment,0.01322106044240185
WCRex1_Somewhat well,0.013000736817789885
i9_health_Not sure,0.01298312871960992
WCRex2_A lot of confidence,0.011300970798767428
WCRex2_Not very much confidence,0.010913024222804137
d1_comorbidities_Yes,0.010906096684827341
d1_comorbidities_No,0.010648907364262926
WCRex1_Somewhat badly,0.010501344905919554
WCRex1_Very well,0.010242001979749095
PHQ4_3_Several days,0.01018445045977392
i11_health_Somewhat willing,0.009986432155877946
PHQ4_1_Several days,0.009852351160826184
employment_status_Retired,0.009800715415545832
PHQ4_2_Several days,0.009403789854990307
PHQ4_1_Not at all,0.009338573317256963
WCRex1_Very badly,0.009321364950973183
PHQ4_4_Several days,0.009320042895529058
PHQ4_4_Not at all,0.00913885204395146
PHQ4_2_Not at all,0.008912083649625105
PHQ4_3_Not at all,0.008863473140639632
employment_status_Not working,0.008661141883974929
employment_status_Unemployed,0.008555730025782351
WCRex2_No confidence at all,0.00671907435605245
PHQ4_1_Nearly every day,0.006463951591509804
PHQ4_3_Nearly every day,0.005984640049646444
state_South Australia,0.005860187479509595
PHQ4_4_Nearly every day,0.005790645474653796
PHQ4_2_Nearly every day,0.005479037563798854
i11_health_Very unwilling,0.005066474115836442
WCRex2_Don't know,0.004540993392939114
PHQ4_2_N/A,0.003813185430118143
PHQ4_3_N/A,0.003735918412585768
PHQ4_4_N/A,0.0037187890818148025
PHQ4_1_N/A,0.0036705477115989153
i11_health_Somewhat unwilling,0.0035754981651354815
d1_comorbidities_Prefer_not_to_say,0.0023560997418476336
state_Tasmania,0.002265233323166716
i11_health_Not sure,0.0022032777333678066
PHQ4_4_Prefer not to say,0.0014503254975026048
PHQ4_3_Prefer not to say,0.001365325758176156
PHQ4_2_Prefer not to say,0.0013257953673336442
PHQ4_1_Prefer not to say,0.00131002295143632
state_Northern Territory,0.0005848373079801788
