run_id,seed,i2_health,age,household_size,cantril_ladder,r1_1,r1_2,week_number,state_New South Wales,state_Northern Territory,state_Queensland,state_South Australia,state_Tasmania,state_Victoria,state_Western Australia,gender_Male,i9_health_Not sure,i9_health_Yes,employment_status_Not working,employment_status_Part time employment,employment_status_Retired,employment_status_Unemployed,i11_health_Not sure,i11_health_Somewhat unwilling,i11_health_Somewhat willing,i11_health_Very unwilling,i11_health_Very willing,WCRex1_Somewhat badly,WCRex1_Somewhat well,WCRex1_Very badly,WCRex1_Very well,WCRex2_A lot of confidence,WCRex2_Don't know,WCRex2_No confidence at all,WCRex2_Not very much confidence,PHQ4_1_N/A,PHQ4_1_Nearly every day,PHQ4_1_Not at all,PHQ4_1_Prefer not to say,PHQ4_1_Several days,PHQ4_2_N/A,PHQ4_2_Nearly every day,PHQ4_2_Not at all,PHQ4_2_Prefer not to say,PHQ4_2_Several days,PHQ4_3_N/A,PHQ4_3_Nearly every day,PHQ4_3_Not at all,PHQ4_3_Prefer not to say,PHQ4_3_Several days,PHQ4_4_N/A,PHQ4_4_Nearly every day,PHQ4_4_Not at all,PHQ4_4_Prefer not to say,PHQ4_4_Several days,d1_comorbidities_No,d1_comorbidities_Prefer_not_to_say,d1_comorbidities_Yes
1,20240627,0.0392212,0.012500432,0.011123082,0.011431224,0.04486607,0.013253061,0.025973594,0.041560814,0.011375752,0.061710324,0.014061864,0.018872535,0.04007199,0.06618342,0.012496526,0.022029562,0.036785126,0.01086353,0.010983902,0.011101703,0.01306134,0.009488453,0.011645993,0.019447755,0.013798711,0.062312707,0.011210442,0.01105765,0.010750415,0.013245313,0.01355363,0.015228503,0.009330131,0.008807464,0.008068126,0.012001106,0.010925454,0.010056446,0.0101734325,0.013851937,0.009596535,0.009466359,0.012697055,0.008658642,0.011185236,0.011686389,0.011314703,0.013036839,0.009348732,0.018128376,0.010021152,0.013454553,0.012408419,0.010171356,0.009333877,0.011699734,0.0133112725
2,20240628,0.039645646,0.012355324,0.011285027,0.012108409,0.05089533,0.013201569,0.02731986,0.049546,0.009857182,0.048742715,0.014570947,0.021735447,0.043571148,0.06182771,0.012369701,0.02416974,0.038080275,0.011962209,0.01265618,0.013250885,0.011289973,0.008479004,0.010915111,0.019528538,0.013063484,0.056995235,0.010935111,0.0112928655,0.01106627,0.013463809,0.0128385285,0.012292522,0.010297157,0.009730973,0.009075487,0.011934889,0.010180413,0.010432392,0.008958414,0.0117888795,0.010776144,0.011036086,0.012724579,0.009253148,0.011403848,0.011660962,0.010144978,0.01715823,0.011082923,0.009762899,0.0099674435,0.0126816975,0.015306549,0.011538194,0.010816883,0.009560857,0.011414184
3,20240629,0.038393807,0.012460911,0.011052063,0.011649169,0.0444471,0.013208324,0.026309438,0.04783016,0.008033711,0.05701476,0.014883765,0.01902868,0.043634232,0.06520318,0.012535463,0.021642227,0.038879517,0.009889643,0.012703889,0.0130032515,0.011973714,0.01049321,0.008885142,0.018619562,0.013876623,0.0657485,0.0104716085,0.009904268,0.011405475,0.013791937,0.01347821,0.013136905,0.010951907,0.009517535,0.007183308,0.012137696,0.011005286,0.009833995,0.009132154,0.009505589,0.011263404,0.012297622,0.008878329,0.0089121675,0.0117222285,0.010066416,0.010683091,0.012948908,0.010873338,0.017736815,0.0107288705,0.013909656,0.013648369,0.011232483,0.010839964,0.010816138,0.01058628
4,20240630,0.036503375,0.011900056,0.010884411,0.011797379,0.04895366,0.013330219,0.026866488,0.0477816,0.0109750135,0.053212047,0.015855914,0.022517195,0.04456182,0.060122102,0.012313141,0.029205346,0.037584923,0.010495992,0.012530019,0.010033552,0.012004123,0.009893904,0.010405046,0.019532435,0.014677646,0.062605835,0.009408871,0.010791162,0.010521396,0.013526026,0.015111487,0.012666514,0.010826871,0.009226382,0.008398134,0.011515329,0.011872576,0.010515102,0.008514128,0.011016689,0.010641656,0.011276815,0.011291842,0.00819448,0.016424758,0.010845026,0.009073031,0.015413881,0.009376135,0.009436563,0.011447252,0.011896072,0.011976498,0.00960675,0.01062193,0.009694769,0.012328648
5,20240631,0.039347284,0.012350134,0.0109900255,0.011738389,0.043480523,0.012743712,0.027103208,0.04835617,0.010261423,0.04628652,0.015951151,0.015184733,0.049273875,0.055249333,0.011942476,0.026528751,0.04335972,0.010588837,0.010440749,0.0139479,0.011964319,0.012265681,0.010010831,0.016714463,0.013257189,0.060694642,0.010326344,0.011771564,0.011564648,0.014300915,0.012308195,0.014797983,0.011015146,0.009337849,0.008107193,0.0112109305,0.0119810095,0.0106310025,0.010134618,0.017050551,0.010344578,0.013617758,0.012527827,0.0086268885,0.013109433,0.010140977,0.010586989,0.012707092,0.0116729885,0.010241654,0.011527467,0.012128706,0.013196613,0.010220798,0.010722482,0.012055745,0.012002114
6,20240632,0.041912682,0.011777864,0.010914018,0.011639666,0.04304721,0.013030252,0.027941663,0.0455702,0.011276922,0.056212693,0.016701352,0.01975803,0.045650523,0.06542692,0.01260251,0.023998694,0.036180187,0.0118803205,0.012835607,0.012583062,0.011040012,0.0074549713,0.009415262,0.016344242,0.013751227,0.06695683,0.01036705,0.010372561,0.01123259,0.015215528,0.014194023,0.015913405,0.010885851,0.010403822,0.008917797,0.012703621,0.012101551,0.012185185,0.00881253,0.013961396,0.010607872,0.0100076,0.012133766,0.009163032,0.0110501675,0.012695886,0.009817081,0.009579088,0.009541999,0.004882753,0.01011102,0.011544631,0.01086323,0.010197576,0.009423789,0.013319693,0.011890992
7,20240633,0.037494145,0.012340088,0.011489392,0.011926214,0.049381964,0.013519999,0.026039224,0.04774721,0.009414096,0.05290684,0.013497515,0.01933579,0.04680378,0.062258758,0.011995313,0.022470491,0.03324041,0.009671335,0.012319614,0.013429134,0.0105413515,0.009700758,0.010093997,0.018733023,0.013378867,0.063506916,0.011440847,0.011179385,0.008971527,0.014802782,0.013973606,0.011670038,0.01123413,0.010293954,0.00923648,0.013428465,0.010888227,0.0093814,0.008320609,0.01198648,0.011184378,0.012157325,0.016891362,0.010348241,0.014033107,0.012268399,0.010118623,0.0138488,0.010878941,0.009092578,0.011714852,0.012296423,0.012667502,0.010242357,0.0096105905,0.012044332,0.010558004
8,20240634,0.039553907,0.012413305,0.011159754,0.011139046,0.04972733,0.012659793,0.026626077,0.04688235,0.012001881,0.057774752,0.012085184,0.020966632,0.040839486,0.06096028,0.0111568635,0.021014867,0.038278934,0.010339916,0.012527915,0.012623149,0.011239772,0.014387661,0.0087700095,0.019441988,0.013642798,0.05866943,0.012219871,0.010913917,0.010892702,0.014451994,0.011938586,0.0120445145,0.010543063,0.010582259,0.0072087306,0.012180688,0.01117651,0.01094064,0.0077283788,0.014479342,0.011223388,0.011145903,0.009225261,0.009127508,0.009996572,0.011298553,0.01035273,0.016214645,0.010628562,0.015482953,0.010072582,0.011601824,0.015591859,0.009206555,0.010574446,0.012593851,0.011478483
9,20240635,0.03910179,0.012322071,0.011334523,0.012127765,0.043155268,0.0133232,0.027540658,0.043680403,0.011587836,0.0551407,0.014695244,0.02074128,0.04274481,0.06196767,0.011463506,0.026025511,0.037814755,0.009629525,0.01115548,0.012801851,0.011720238,0.011051495,0.006949639,0.019455165,0.011834967,0.06838139,0.011249095,0.0107525345,0.011944178,0.013191551,0.013426332,0.015598872,0.011445108,0.010826023,0.0074394667,0.012111395,0.01161652,0.0069542485,0.010109387,0.01709925,0.011424713,0.010797337,0.011963767,0.009106995,0.012255511,0.011335671,0.009878482,0.01706328,0.010903157,0.015123161,0.00880531,0.009783258,0.011184488,0.009715044,0.0094741965,0.00851667,0.011158308
10,20240636,0.04131168,0.011919639,0.011350492,0.011555558,0.045162465,0.013068686,0.026685262,0.046297193,0.010476559,0.051454492,0.012922394,0.018426364,0.046942692,0.06615243,0.012503097,0.023338024,0.032506514,0.010566968,0.012711777,0.01274993,0.011761635,0.008221599,0.0114349695,0.017749367,0.014404192,0.0662288,0.00918794,0.010931967,0.011338339,0.013682883,0.015146429,0.0135426335,0.009098191,0.010164282,0.008335333,0.011672742,0.0108559765,0.014224304,0.0077619385,0.009554384,0.011212927,0.010117084,0.012685849,0.009722425,0.012790811,0.010974968,0.009947303,0.014192399,0.010910675,0.013387743,0.013213286,0.011783008,0.014629398,0.008542691,0.009988113,0.011368387,0.011132739
