feature,median_importance,q1,q3,iqr
i11_health_Very willing,0.06469987,0.06119947507977486,0.06825520470738411,0.007055729627609253
state_Western Australia,0.06328513,0.0605158768594265,0.06527604721486568,0.004760170355439186
state_Queensland,0.053916194,0.0510590560734272,0.05709971580654383,0.006040659733116627
state_New South Wales,0.04875852,0.04579519014805555,0.050475955940783024,0.00468076579272747
state_Victoria,0.045709644,0.04333201330155134,0.04817303363233805,0.004841020330786705
r1_1,0.044234864,0.04252733942121267,0.04533860273659229,0.0028112633153796196
i2_health,0.03927306,0.03816422075033188,0.039812229573726654,0.0016480088233947754
i9_health_Yes,0.03769984,0.034473760053515434,0.03899264894425869,0.004518888890743256
week_number,0.02648469,0.026044447906315327,0.026990607380867004,0.0009461594745516777
i9_health_Not sure,0.02474033,0.023138822056353092,0.02616115380078554,0.0030223317444324493
i11_health_Somewhat willing,0.018963557,0.01805784972384572,0.019711792934685946,0.0016539432108402252
state_Tasmania,0.018889833,0.017588778398931026,0.020113746635615826,0.002524968236684799
PHQ4_3_Prefer not to say,0.014938602,0.01278097671456635,0.016277039423584938,0.003496062709018588
state_South Australia,0.0146839395,0.013560483464971185,0.015785014256834984,0.002224530791863799
WCRex1_Very well,0.013893279,0.013375707203522325,0.014658878790214658,0.0012831715866923332
i11_health_Very unwilling,0.013752095,0.013117659138515592,0.014559178613126278,0.0014415194746106863
WCRex2_A lot of confidence,0.013378777,0.012755671283230186,0.014233036432415247,0.0014773651491850615
PHQ4_4_Prefer not to say,0.013259286,0.012156747048720717,0.014043644536286592,0.001886897487565875
r1_2,0.013206081,0.013005200773477554,0.013540210202336311,0.000535009428858757
WCRex2_Don't know,0.012778753,0.012261275434866548,0.014210170134902,0.0019488947000354528
employment_status_Retired,0.012603106,0.011625035665929317,0.01353636384010315,0.001911328174173832
PHQ4_1_Nearly every day,0.012228811,0.011978333350270987,0.01272553182207048,0.0007471984717994928
age,0.0122135095,0.01208190992474556,0.012378463288769126,0.00029655336402356625
PHQ4_2_N/A,0.012089137,0.011020430829375982,0.014265558682382107,0.0032451278530061245
PHQ4_4_N/A,0.01208541,0.009725336218252778,0.014004388125613332,0.004279051907360554
PHQ4_2_Prefer not to say,0.012014591,0.010040441062301397,0.013097664574161172,0.0030572235118597746
gender_Male,0.0119933495,0.011648797197267413,0.012484944425523281,0.000836147228255868
PHQ4_4_Not at all,0.011901511,0.011357322335243225,0.012749474961310625,0.0013921526260674
employment_status_Unemployed,0.0117386505,0.011246895650401711,0.012109806295484304,0.000862910645082593
employment_status_Part time employment,0.011688616,0.01131490315310657,0.012253542896360159,0.0009386397432535887
cantril_ladder,0.011599654,0.011272650677710772,0.011794418329373002,0.0005217676516622305
PHQ4_3_N/A,0.01153421,0.010016890242695808,0.012778489151969552,0.0027615989092737436
household_size,0.011373969,0.011127449106425047,0.011638200376182795,0.0005107512697577477
PHQ4_2_Not at all,0.0113228075,0.010898273205384612,0.012050771620124578,0.0011524984147399664
PHQ4_3_Nearly every day,0.011185294,0.010554632870480418,0.011664059478789568,0.0011094266083091497
d1_comorbidities_Yes,0.011181463,0.010837337467819452,0.012001927709206939,0.0011645902413874865
PHQ4_1_Not at all,0.0111406,0.010784456972032785,0.01161022367887199,0.0008257667068392038
employment_status_Not working,0.0109375585,0.010473954258486629,0.01144143519923091,0.0009674809407442808
WCRex1_Very badly,0.010854138,0.01056197565048933,0.011407410260289907,0.0008454346098005772
d1_comorbidities_Prefer_not_to_say,0.01082903,0.009637718321755528,0.012036142637953162,0.0023984243161976337
PHQ4_2_Nearly every day,0.01078194,0.01039498602040112,0.011220772750675678,0.0008257867302745581
WCRex2_No confidence at all,0.010658904,0.009988897014409304,0.011042048456147313,0.0010531514417380095
PHQ4_3_Several days,0.0106409015,0.010034318780526519,0.010963423643261194,0.0009291048627346754
WCRex1_Somewhat well,0.010583619,0.010208639083430171,0.010968722170218825,0.0007600830867886543
PHQ4_4_Nearly every day,0.01055203,0.010063958819955587,0.011164252180606127,0.0011002933606505394
PHQ4_1_Prefer not to say,0.010473747,0.009367416612803936,0.01207776996307075,0.0027103533502668142
state_Northern Territory,0.0103190895,0.009649813873693347,0.011184832779690623,0.0015350189059972763
i11_health_Not sure,0.010282291,0.009259512647986412,0.010995341232046485,0.001735828584060073
WCRex1_Somewhat badly,0.010275643,0.009712683968245983,0.010919493855908513,0.00120680988766253
PHQ4_3_Not at all,0.010131801,0.00982020702213049,0.010607432574033737,0.0007872255519032478
d1_comorbidities_No,0.009984918,0.009605859639123082,0.010526861064136028,0.0009210014250129461
i11_health_Somewhat unwilling,0.009832513,0.008695820579305291,0.010907496325671673,0.0022116757463663816
WCRex2_Not very much confidence,0.009728756,0.00929929711855948,0.01019443990662694,0.0008951427880674601
PHQ4_4_Several days,0.009564645,0.00893346848897636,0.010029699420556426,0.0010962309315800667
PHQ4_2_Several days,0.009495985,0.009136389009654522,0.009972955100238323,0.0008365660905838013
PHQ4_1_Several days,0.00897952,0.008570738835260272,0.009499305626377463,0.0009285667911171913
PHQ4_1_N/A,0.008028969,0.00718966347631067,0.008720934158191085,0.0015312706818804145
